Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P12753	P12753	1	1	1	DNA repair protein RAD50	RAD50	sp|P12753|RAD50_YEAST DNA repair protein RAD50 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAD50 PE=1 SV=1	1	1	1	1	1.8	1.8	1.8	152.57	1312	1312	0.0023753	1.7611	0.61789	0.99194	1.5614	2	0	Median	7935500	4858100	3077500				267	8796	True	8871	26230;26231	47269;47270	47270			-1
P12754	P12754	3	3	3	Translation initiation factor eIF-2B subunit delta	GCD2	sp|P12754|EI2BD_YEAST Translation initiation factor eIF-2B subunit delta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCD2 PE=1 SV=1	1	3	3	3	6.1	6.1	6.1	70.851	651	651	0	4.1394	0.51735	0.78844	10.606	4	0	Leave out requantified	256720000	156570000	100150000				268	3836;14633;14645	True;True;True	3868;14781;14793	11641;11642;44086;44087;44120	21288;21289;79009;79010;79011;79012;79058	21288;79012;79058			-1
P12904	P12904	6	6	6	5-AMP-activated protein kinase subunit gamma	SNF4	sp|P12904|AAKG_YEAST 5-AMP-activated protein kinase subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNF4 PE=1 SV=1	1	6	6	6	31.1	31.1	31.1	36.401	322	322	0	51.034	0.61496	0.95378	16.928	12	0	Leave out requantified	519130000	303850000	215280000				269	681;6000;7977;9024;11575;12303	True;True;True;True;True;True	691;6052;8044;9101;11689;12427	2261;2262;17871;17872;17873;23728;26948;26949;34187;34188;34189;34190;36360;36361	4201;4202;4203;4204;4205;32649;32650;32651;42845;48484;48485;48486;48487;48488;48489;48490;48491;61175;61176;61177;61178;61179;61180;61181;61182;61183;61184;61185;65076;65077;65078;65079	4203;32651;42845;48488;61185;65076			-1
P12945	P12945	17	17	17	N-terminal acetyltransferase A complex subunit NAT1	NAT1	sp|P12945|NAT1_YEAST N-terminal acetyltransferase A complex subunit NAT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NAT1 PE=1 SV=2	1	17	17	17	29	29	29	98.904	854	854	0	89.173	0.6678	1.0259	11.747	17	0	Leave out requantified	2133100000	1275100000	857980000				270	85;2669;3048;3361;4213;4663;4943;4955;6127;7096;7373;8088;10983;11271;12831;15648;16003	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	85;2694;3077;3391;4245;4702;4985;4997;6179;7156;7436;8155;11094;11384;12960;15801;16158	408;409;8357;8358;8359;9439;9440;10370;10371;12592;12593;12594;14075;14076;14077;14078;14856;14857;14858;14884;14885;18234;21069;21070;21852;21853;24018;24019;32623;33347;33348;33349;37885;37886;37887;47130;48147;48148	710;711;712;713;15260;15261;15262;15263;15264;15265;17251;17252;17253;18978;18979;18980;18981;23054;23055;23056;23057;23058;23059;25801;25802;25803;25804;25805;25806;25807;25808;25809;27255;27256;27257;27289;27290;33327;38115;38116;38117;39434;39435;43350;43351;43352;58553;59792;59793;59794;67768;67769;67770;84641;86463;86464;86465;86466	712;15261;17251;18979;23057;25805;27257;27290;33327;38115;39435;43350;58553;59793;67769;84641;86466			-1
P12962	P12962	3	3	3	Cap-associated protein CAF20	CAF20	sp|P12962|CAF20_YEAST Cap-associated protein CAF20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAF20 PE=1 SV=2	1	3	3	3	21.1	21.1	21.1	18.223	161	161	0	6.5118	0.80894	1.1136	19.662	9	0	Leave out requantified	1057600000	555940000	501710000				271	9981;12652;15225	True;True;True	10080;12780;15374	29742;29743;29744;29745;29746;37370;37371;45846;45847;45848;45849;45850;45851;45852;45853	53465;53466;53467;53468;53469;53470;53471;53472;53473;53474;53475;66841;66842;82258;82259;82260;82261;82262;82263;82264;82265;82266	53466;66842;82262			-1
P13185	P13185	2	2	2	Serine/threonine protein kinase KIN1	KIN1	sp|P13185|KIN1_YEAST Serine/threonine protein kinase KIN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KIN1 PE=1 SV=3	1	2	2	2	2.6	2.6	2.6	120.07	1064	1064	0	2.831	0.34626	0.5406	44.92	4	0	Median	41145000	30303000	10842000				272	7816;12585	True;True	7881;12713	23200;23201;37192;37193	41807;41808;66570;66571;66572	41808;66570			-1
P13188	P13188	36	36	36	Glutamine--tRNA ligase	GLN4	sp|P13188|SYQ_YEAST Glutamine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLN4 PE=1 SV=2	1	36	36	36	51.2	51.2	51.2	93.132	809	809	0	323.31	0.63397	0.98842	21.461	79	0	Leave out requantified	13723000000	8428000000	5294600000				273	797;1327;1624;2840;2845;2887;3132;4109;4470;5023;5529;6308;6763;7286;7667;8174;8393;8933;9067;9381;9592;10344;10345;10561;11607;11722;11781;12722;12723;13697;14130;14453;14454;14521;15168;15755	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	807;1343;1641;2869;2874;2916;3161;4141;4504;5068;5578;6361;6819;7349;7730;8241;8465;9010;9144;9470;9687;10450;10451;10668;11721;11838;11897;12850;12851;13833;14272;14598;14599;14666;15317;15908	2610;2611;2612;2613;4292;4293;4294;5164;5165;8875;8876;8877;8878;8879;8880;8892;8893;8894;9011;9738;9739;12319;12320;12321;12322;12323;12324;13320;13321;15050;15051;15052;15053;16513;16514;16515;16516;16517;18809;18810;18811;20217;21598;21599;22613;22614;24244;24245;25006;25007;26616;26617;27063;27064;28017;28018;28019;28020;28021;28022;28023;28636;28637;30890;30891;30892;30893;30894;30895;30896;30897;31534;31535;34280;34281;34282;34283;34284;34285;34600;34601;34602;34603;34767;34768;34769;34770;37537;37538;37539;37540;37541;37542;37543;37544;37545;37546;37547;37548;40906;40907;40908;42457;42458;43456;43457;43458;43459;43700;43701;43702;43703;45685;47452;47453	4820;4821;4822;4823;7997;7998;7999;9571;9572;16205;16206;16207;16208;16209;16210;16211;16212;16213;16236;16237;16238;16239;16240;16435;17789;17790;17791;17792;22538;22539;22540;22541;22542;22543;22544;22545;22546;22547;24376;24377;24378;27552;27553;27554;27555;30226;30227;30228;30229;30230;30231;34304;34305;34306;36748;39015;39016;39017;40808;40809;40810;40811;40812;43746;43747;45120;45121;45122;45123;47891;47892;48699;48700;48701;50383;50384;50385;50386;50387;50388;50389;50390;50391;50392;50393;50394;50395;51530;51531;51532;51533;51534;51535;55515;55516;55517;55518;55519;55520;55521;55522;55523;55524;56665;56666;61344;61345;61346;61347;61348;61349;61350;61351;61352;61916;61917;61918;61919;61920;61921;61922;61923;61924;62266;62267;62268;62269;67100;67101;67102;67103;67104;67105;67106;67107;67108;67109;67110;67111;67112;67113;67114;67115;67116;67117;67118;67119;67120;67121;67122;67123;67124;73221;73222;73223;73224;73225;73226;73227;73228;73229;75948;75949;77828;77829;77830;77831;77832;77833;78248;78249;78250;78251;78252;78253;78254;81980;85230;85231;85232	4823;7998;9571;16212;16238;16435;17792;22544;24378;27553;30227;34305;36748;39015;40809;43747;45121;47891;48701;50388;51534;55519;55521;56666;61347;61919;62266;67102;67124;73228;75949;77828;77829;78254;81980;85232			-1
P13259	P13259	1	1	1	Choline-phosphate cytidylyltransferase	PCT1	sp|P13259|PCY1_YEAST Choline-phosphate cytidylyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PCT1 PE=1 SV=2	1	1	1	1	5.2	5.2	5.2	49.406	424	424	0	3.0109	NaN	NaN	NaN	0	0	Median	5859400	5859400	0				274	15496	True	15648	46696	83902	83902			-1
P13298;P30402	P13298	10;1	10;1	10;1	Orotate phosphoribosyltransferase 1	URA5	sp|P13298|PYRE_YEAST Orotate phosphoribosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA5 PE=1 SV=2	2	10	10	10	55.3	55.3	55.3	24.664	226	226;227	0	27.999	0.72141	1.0977	20.828	15	0	Leave out requantified	1882900000	1033900000	848930000				275	1575;2069;2829;3590;4127;4459;9784;10579;10709;12125	True;True;True;True;True;True;True;True;True;True	1592;2092;2858;3620;4159;4493;9880;10686;10816;12246	5020;5021;6595;6596;8848;10916;12361;12362;13288;13289;29156;29157;29158;31572;31573;31904;35888;35889;35890;35891	9298;9299;9300;9301;12182;12183;16149;19924;19925;22619;22620;22621;22622;22623;24321;24322;24323;52477;52478;52479;52480;52481;56726;56727;56728;57309;57310;57311;64230;64231;64232;64233;64234	9298;12182;16149;19924;22623;24323;52481;56728;57309;64232			-1;-1
P13382	P13382	4	4	4	DNA polymerase alpha catalytic subunit A	POL1	sp|P13382|DPOA_YEAST DNA polymerase alpha catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POL1 PE=1 SV=2	1	4	4	4	4	4	4	166.81	1468	1468	0	10.265	0.97993	1.499	18.443	6	0	Leave out requantified	52655000	25166000	27489000				276	8612;11431;12032;14906	True;True;True;True	8686;11544;12150;15055	25705;33696;33697;35564;35565;44802;44803;44804	46320;60338;60339;60340;60341;60342;63621;63622;63623;80347;80348;80349;80350	46320;60341;63623;80347			-1
P13393	P13393	3	3	3	TATA-box-binding protein	SPT15	sp|P13393|TBP_YEAST TATA-box-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPT15 PE=1 SV=3	1	3	3	3	20.8	20.8	20.8	27.003	240	240	0	14.404	0.63124	0.99716	11.703	4	0	Leave out requantified	348850000	221370000	127480000				277	1566;7562;11123	True;True;True	1583;7625;11236	4998;4999;5000;22361;22362;32991	9268;9269;9270;9271;9272;40355;40356;40357;40358;40359;59188	9271;40357;59188			-1
P13517	P13517	5	5	5	F-actin-capping protein subunit beta	CAP2	sp|P13517|CAPZB_YEAST F-actin-capping protein subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAP2 PE=1 SV=3	1	5	5	5	17.8	17.8	17.8	32.629	287	287	0	8.161	0.57829	0.88002	31.607	6	0	Leave out requantified	333400000	221110000	112290000				278	1747;10105;11586;11587;12505	True;True;True;True;True	1766;10205;11700;11701;12633	5535;5536;5537;5538;30059;30060;34227;34228;34229;36980	10224;10225;10226;10227;10228;54006;54007;54008;61258;61259;61260;66251;66252	10225;54008;61259;61260;66251			-1
P13574	P13574	1	1	1	Protein STE12	STE12	sp|P13574|STE12_YEAST Protein STE12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE12 PE=1 SV=1	1	1	1	1	2.5	2.5	2.5	77.866	688	688	0	4.0414	NaN	NaN	NaN	1	0	Median	6479500	804290	5675200				279	1024	True	1039	3258;3259;3260	5980;5981;5982;5983;5984	5981			-1
P13586	P13586	7	7	7	Calcium-transporting ATPase 1	PMR1	sp|P13586|ATC1_YEAST Calcium-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMR1 PE=1 SV=1	1	7	7	7	9.4	9.4	9.4	104.57	950	950	0	10.105	0.72978	1.0962	28.453	3	0	Leave out requantified	284950000	211210000	73738000				280	8478;8691;8923;8924;9064;10788;12639	True;True;True;True;True;True;True	8550;8766;8999;9000;9141;10895;12767	25217;25925;26595;26596;26597;27059;27060;32101;37340;37341;37342	45513;46693;47863;47864;47865;47866;48695;48696;57643;66797;66798;66799	45513;46693;47863;47866;48695;57643;66799			-1
Q12691;Q01896;P13587	Q12691;Q01896;P13587	4;4;4	4;4;4	4;4;4	Sodium transport ATPase 5;Sodium transport ATPase 2;Sodium transport ATPase 1	ENA5;ENA2;ENA1	sp|Q12691|ATN5_YEAST Sodium transport ATPase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENA5 PE=1 SV=1;sp|Q01896|ATN2_YEAST Sodium transport ATPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENA2 PE	3	4	4	4	5.7	5.7	5.7	120.29	1091	1091;1091;1091	0	23.19	0.97137	1.4605	19.206	5	0	Leave out requantified	290110000	166940000	123180000				281	2102;7727;10151;11811	True;True;True;True	2125;7791;10251;11927	6691;6692;22880;22881;22882;30187;30188;34833	12355;12356;12357;12358;41260;41261;41262;41263;41264;54238;54239;62383	12356;41261;54238;62383			-1;-1;-1
P13663	P13663	19	19	19	Aspartate-semialdehyde dehydrogenase	HOM2	sp|P13663|DHAS_YEAST Aspartate-semialdehyde dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HOM2 PE=1 SV=1	1	19	19	19	48.2	48.2	48.2	39.543	365	365	0	136.38	0.56493	0.87535	21.861	52	0	Leave out requantified	25966000000	17498000000	8468000000				282	1865;2744;2745;3353;3401;5143;5700;6100;6788;6789;7689;8288;10328;10334;11054;11062;11186;14238;16081	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1885;2770;2771;3383;3431;5190;5750;6152;6844;6845;7753;8357;10434;10440;11165;11173;11299;14382;16236	5893;5894;5895;8596;8597;8598;8599;8600;8601;8602;10355;10356;10457;10458;10459;10460;15366;15367;15368;15369;17047;17048;17049;17050;18175;18176;18177;18178;20271;20272;20273;20274;22764;22765;22766;24606;24607;24608;30847;30848;30849;30860;30861;30862;30863;32797;32798;32819;32820;32821;32822;32823;32824;33151;33152;33153;42772;42773;42774;42775;42776;42777;42778;48343;48344;48345	10869;10870;10871;10872;15683;15684;15685;15686;15687;15688;15689;15690;15691;15692;15693;15694;15695;15696;15697;15698;18950;18951;18952;19111;19112;19113;19114;19115;19116;28094;28095;28096;28097;28098;28099;28100;31136;31137;31138;31139;31140;31141;31142;33210;33211;33212;33213;33214;33215;33216;33217;33218;33219;33220;33221;36829;36830;36831;36832;36833;36834;36835;41039;41040;41041;44433;44434;44435;44436;44437;44438;44439;55443;55444;55445;55446;55447;55466;55467;55468;55469;55470;55471;55472;58854;58855;58856;58857;58858;58859;58860;58861;58896;58897;58898;58899;58900;58901;58902;58903;58904;58905;58906;59453;59454;59455;59456;76530;76531;76532;76533;76534;76535;76536;76537;76538;76539;76540;76541;76542;86841;86842;86843	10869;15690;15698;18952;19111;28096;31137;33218;36830;36832;41040;44435;55446;55471;58859;58905;59456;76541;86841			-1
P14020	P14020	14	14	14	Dolichol-phosphate mannosyltransferase	DPM1	sp|P14020|DPM1_YEAST Dolichol-phosphate mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DPM1 PE=1 SV=3	1	14	14	14	57.3	57.3	57.3	30.362	267	267	0	94.719	0.63856	1.0299	25.474	27	0	Leave out requantified	5508800000	3122800000	2386000000				283	4284;5150;7133;7287;7610;7627;8383;9438;9439;10594;11972;14178;15553;15857	True;True;True;True;True;True;True;True;True;True;True;True;True;True	4317;5197;7193;7350;7673;7690;8455;9527;9528;10701;12090;14321;15705;16011	12776;15383;15384;15385;15386;15387;21173;21600;22467;22468;22503;22504;22505;22506;22507;22508;22509;24975;24976;28198;28199;28200;28201;31597;31598;31599;31600;35346;35347;35348;35349;35350;42606;46858;46859;46860;47772;47773	23400;28121;28122;28123;28124;28125;28126;38288;39018;40538;40539;40540;40608;40609;40610;40611;40612;40613;40614;40615;40616;40617;45066;45067;50720;50721;50722;50723;50724;50725;50726;50727;56760;56761;56762;56763;56764;56765;56766;56767;56768;56769;56770;56771;56772;56773;56774;56775;63248;63249;63250;63251;63252;63253;63254;63255;63256;63257;76218;84188;84189;84190;84191;84192;85795;85796;85797;85798	23400;28122;38288;39018;40540;40608;45066;50720;50727;56765;63250;76218;84192;85796			-1
P14065	P14065	2	1	1	Glycerol 2-dehydrogenase (NADP(+))	GCY1	sp|P14065|GCY1_YEAST Glycerol 2-dehydrogenase (NADP(+)) OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCY1 PE=1 SV=1	1	2	1	1	7.4	4.2	4.2	35.079	312	312	0	3.4599	0.70017	1.0526	5.8887	2	0	Median	497720000	298040000	199680000				284	1208;14108	True;False	1223;14250	3921;3922;42400;42401	7288;7289;7290;7291;75848;75849;75850;75851	7290;75851			-1
P14120	P14120	8	8	8	60S ribosomal protein L30	RPL30	sp|P14120|RL30_YEAST 60S ribosomal protein L30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL30 PE=1 SV=3	1	8	8	8	75.2	75.2	75.2	11.415	105	105	0	59.712	0.58478	0.90176	11.085	22	0	Leave out requantified	9953100000	5634000000	4319000000				285	7103;7917;11706;11862;12518;13535;14518;15374	True;True;True;True;True;True;True;True	7163;7984;11821;11978;12646;13670;14663;15525	21097;21098;21099;21100;21101;21102;21103;21104;21105;21106;21107;21108;23560;23561;34560;34561;34562;34563;34564;34565;35055;37017;37018;40318;40319;40320;40321;40322;43650;43651;43652;43653;43654;43655;43656;43657;43658;43659;43660;43661;43662;43663;43664;43665;43666;43667;43668;43669;43670;43671;43672;43673;43674;43675;43676;43677;43678;43679;43680;43681;43682;43683;43684;43685;43686;43687;43688;43689;43690;43691;43692;43693;43694;46264;46265;46266;46267;46268;46269;46270;46271	38172;38173;38174;38175;38176;38177;38178;38179;38180;38181;38182;38183;38184;38185;38186;38187;38188;38189;38190;38191;42505;42506;42507;42508;61849;61850;61851;61852;61853;61854;61855;62750;66312;66313;66314;72163;72164;72165;72166;72167;72168;72169;72170;72171;72172;72173;72174;72175;72176;72177;72178;78187;78188;78189;78190;78191;78192;78193;78194;78195;78196;78197;78198;78199;78200;78201;78202;78203;78204;78205;78206;78207;78208;78209;78210;78211;78212;78213;78214;78215;78216;78217;78218;78219;78220;78221;78222;78223;78224;78225;78226;78227;78228;78229;78230;78231;78232;78233;78234;78235;78236;83103;83104;83105;83106;83107;83108;83109;83110;83111;83112;83113;83114;83115;83116;83117;83118;83119;83120;83121;83122;83123;83124;83125;83126	38179;42507;61849;62750;66313;72176;78218;83106			-1
P14126	P14126	31	31	31	60S ribosomal protein L3	RPL3	sp|P14126|RL3_YEAST 60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL3 PE=1 SV=4	1	31	31	31	54.3	54.3	54.3	43.757	387	387	0	205.63	0.60734	0.82706	14.055	142	0	Leave out requantified	148950000000	89164000000	59784000000				286	358;391;646;3601;3885;4069;4468;4740;4741;4839;6524;6530;7114;7145;7146;7154;9701;12144;12338;12339;12365;12366;13475;13476;14014;14478;14650;14848;14849;15424;15557	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	362;363;397;656;3632;3917;4101;4502;4779;4780;4880;6578;6584;7174;7205;7206;7213;9797;12265;12464;12465;12492;12493;13608;13609;14154;14623;14798;14997;14998;15575;15709	1299;1300;1301;1412;1413;1414;1415;1416;2157;10949;11765;12225;12226;13315;13316;13317;13318;14321;14322;14323;14324;14576;14577;19543;19558;19559;21132;21133;21208;21209;21210;21211;21212;21213;21214;21215;21216;21217;21229;21230;28928;28929;28930;28931;35944;35945;35946;35947;36493;36494;36495;36496;36497;36498;36499;36500;36501;36502;36503;36504;36505;36506;36507;36508;36509;36613;36614;36615;40131;40132;40133;40134;40135;40136;40137;40138;40139;40140;40141;40142;40143;40144;41852;41853;41854;41855;41856;41857;41858;41859;41860;41861;41862;41863;41864;41865;41866;41867;41868;41869;41870;41871;41872;41873;41874;41875;41876;41877;41878;41879;41880;41881;41882;41883;41884;41885;41886;41887;41888;41889;41890;41891;41892;41893;41894;41895;41896;41897;41898;41899;41900;41901;41902;41903;41904;41905;41906;41907;41908;41909;41910;41911;41912;41913;41914;41915;41916;41917;41918;41919;41920;41921;41922;41923;41924;41925;41926;41927;41928;41929;41930;41931;41932;41933;41934;41935;41936;41937;41938;41939;41940;41941;41942;41943;41944;41945;41946;41947;41948;41949;41950;41951;41952;41953;41954;41955;41956;41957;41958;41959;41960;41961;41962;41963;41964;41965;41966;41967;41968;41969;41970;41971;41972;41973;41974;41975;41976;41977;41978;41979;41980;41981;41982;41983;41984;41985;41986;41987;41988;41989;41990;41991;41992;41993;41994;41995;41996;41997;41998;41999;42000;42001;42002;42003;42004;42005;42006;42007;42008;42009;42010;42011;42012;42013;42014;42015;42016;42017;42018;42019;42020;42021;42022;42023;42024;42025;42026;42027;42028;42029;42030;42031;42032;42033;42034;42035;42036;42037;42038;42039;42040;42041;42042;42043;42044;42045;42046;42047;42048;42049;42050;42051;43535;43536;43537;43538;43539;43540;43541;44127;44128;44661;44662;44663;44664;44665;44666;46457;46458;46865;46866	2338;2339;2340;2341;2342;2537;2538;2539;2540;2541;2542;2543;2544;2545;2546;2547;4002;19991;21514;22382;22383;22384;22385;24367;24368;24369;24370;24371;24372;24373;24374;26319;26320;26321;26322;26323;26324;26325;26326;26749;26750;26751;26752;35627;35650;35651;35652;35653;38237;38238;38347;38348;38349;38350;38351;38352;38353;38354;38355;38356;38357;38358;38359;38360;38361;38362;38363;38364;38365;38381;38382;38383;38384;52071;52072;52073;52074;64317;64318;64319;64320;64321;64322;64323;64324;64325;64326;65326;65327;65328;65329;65330;65331;65332;65333;65334;65335;65336;65337;65338;65339;65340;65341;65342;65343;65344;65345;65346;65347;65348;65349;65350;65351;65352;65353;65354;65355;65356;65357;65358;65359;65360;65361;65362;65363;65364;65365;65366;65367;65368;65369;65370;65371;65372;65373;65374;65375;65376;65569;65570;65571;71793;71794;71795;71796;71797;71798;71799;71800;71801;71802;71803;71804;71805;71806;71807;71808;71809;71810;71811;71812;71813;71814;71815;71816;71817;71818;71819;71820;71821;71822;71823;71824;71825;71826;71827;71828;71829;71830;71831;71832;71833;71834;71835;71836;71837;71838;71839;74851;74852;74853;74854;74855;74856;74857;74858;74859;74860;74861;74862;74863;74864;74865;74866;74867;74868;74869;74870;74871;74872;74873;74874;74875;74876;74877;74878;74879;74880;74881;74882;74883;74884;74885;74886;74887;74888;74889;74890;74891;74892;74893;74894;74895;74896;74897;74898;74899;74900;74901;74902;74903;74904;74905;74906;74907;74908;74909;74910;74911;74912;74913;74914;74915;74916;74917;74918;74919;74920;74921;74922;74923;74924;74925;74926;74927;74928;74929;74930;74931;74932;74933;74934;74935;74936;74937;74938;74939;74940;74941;74942;74943;74944;74945;74946;74947;74948;74949;74950;74951;74952;74953;74954;74955;74956;74957;74958;74959;74960;74961;74962;74963;74964;74965;74966;74967;74968;74969;74970;74971;74972;74973;74974;74975;74976;74977;74978;74979;74980;74981;74982;74983;74984;74985;74986;74987;74988;74989;74990;74991;74992;74993;74994;74995;74996;74997;74998;74999;75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75021;75022;75023;75024;75025;75026;75027;75028;75029;75030;75031;75032;75033;75034;75035;75036;75037;75038;75039;75040;75041;75042;75043;75044;75045;75046;75047;75048;75049;75050;75051;75052;75053;75054;75055;75056;75057;75058;75059;75060;75061;75062;75063;75064;75065;75066;75067;75068;75069;75070;75071;75072;75073;75074;75075;75076;75077;75078;75079;75080;75081;75082;75083;75084;75085;75086;75087;75088;75089;75090;75091;75092;75093;75094;75095;75096;75097;75098;75099;75100;75101;75102;75103;75104;75105;75106;75107;75108;75109;75110;75111;75112;75113;75114;75115;75116;75117;75118;75119;75120;75121;75122;75123;77975;77976;77977;77978;77979;77980;77981;77982;77983;77984;77985;77986;77987;77988;77989;77990;77991;77992;77993;79066;79067;79068;79069;79070;80100;80101;80102;80103;80104;80105;80106;80107;80108;80109;83476;83477;83478;83479;84200;84201;84202;84203	2341;2539;4002;19991;21514;22382;24372;26320;26323;26749;35627;35653;38237;38353;38362;38382;52072;64326;65347;65364;65569;65571;71793;71823;74903;77975;79070;80106;80108;83476;84200			-1
P14164	P14164	3	3	3	ARS-binding factor 1	ABF1	sp|P14164|ABF1_YEAST ARS-binding factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ABF1 PE=1 SV=4	1	3	3	3	6.3	6.3	6.3	81.752	731	731	0	40.795	0.67249	1.0199	8.6351	7	0	Leave out requantified	327400000	198870000	128530000				287	4205;4987;5010	True;True;True	4237;5030;5053	12568;12569;12570;12571;14963;15014;15015	23005;23006;23007;23008;23009;23010;23011;23012;23013;27409;27498;27499	23009;27409;27498			-1
P14359	P14359	1	1	1	Protein SNA3	SNA3	sp|P14359|SNA3_YEAST Protein SNA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNA3 PE=1 SV=3	1	1	1	1	9	9	9	15.199	133	133	0	8.2993	0.84997	1.2036	18.587	2	0	Median	64070000	21530000	42539000				288	9243	True	9323;9324	27566;27567;27568;27569	49557;49558;49559;49560;49561	49561			-1
