Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P04147	P04147	39	39	39	Polyadenylate-binding protein, cytoplasmic and nuclear	PAB1	sp|P04147|PABP_YEAST Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAB1 PE=1 SV=4	1	39	39	39	69.7	69.7	69.7	64.343	577	577	0	323.31	0.62483	0.91264	29.036	87	0	Leave out requantified	37549000000	22354000000	15195000000				77	127;403;431;770;1158;1159;1785;1941;1979;1980;2566;3070;3071;3072;3732;3733;3734;3735;4369;5943;6217;6421;6521;9259;9451;9540;9631;9656;9871;10214;10215;10659;10915;11608;12011;12464;13316;13317;15322	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	128;408;438;780;1171;1172;1804;1962;2000;2001;2590;3099;3100;3101;3763;3764;3765;3766;4406;5996;6271;6478;6578;9354;9548;9637;9731;9756;9977;10322;10323;10772;11030;11732;12141;12597;13463;13464;15488	572;573;574;575;576;577;578;579;580;581;582;583;584;585;586;587;1512;1513;1614;1615;2631;2632;2633;2634;2635;2636;2637;3834;3835;3836;3837;3838;5834;5835;6349;6350;6351;6352;6453;6454;6455;6456;6457;6458;8209;9752;9753;9754;9755;9756;9757;9758;9759;9760;11520;11521;11522;11523;11524;11525;11526;11527;11528;11529;11530;11531;11532;13479;13480;13481;13482;13483;18024;18025;18026;19025;19026;19027;19028;19577;19578;19844;19845;28140;28141;28695;28696;28697;28698;28699;28931;28932;28933;28934;29197;29198;29199;29200;29201;29202;29203;29204;29272;29273;29946;29947;29948;29949;30862;30863;30864;32017;32018;32019;32613;32614;32615;34862;34863;36083;36084;37493;37494;37495;37496;40392;40393;40394;40395;40396;40397;40398;46786;46787;46788	1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;2797;2798;2799;2800;3018;3019;3020;4938;4939;4940;4941;4942;4943;4944;4945;4946;4947;4948;4949;4950;7134;7135;7136;7137;7138;7139;7140;7141;7142;7143;7144;7145;7146;7147;10791;10792;10793;11738;11739;11740;11741;11742;11743;11744;11745;11746;11747;11748;11749;11931;11932;11933;11934;11935;11936;11937;11938;11939;11940;15019;17799;17800;17801;17802;17803;17804;17805;17806;17807;17808;17809;17810;17811;17812;17813;17814;17815;17816;17817;17818;17819;17820;21073;21074;21075;21076;21077;21078;21079;21080;21081;21082;21083;21084;21085;21086;21087;21088;21089;21090;21091;21092;21093;21094;21095;21096;21097;21098;21099;21100;24755;24756;24757;24758;24759;24760;24761;24762;24763;24764;24765;24766;32966;32967;32968;32969;34798;34799;34800;34801;34802;34803;34804;34805;35766;35767;35768;36221;36222;36223;36224;51079;51080;51081;51082;52088;52089;52090;52091;52092;52093;52094;52095;52096;52097;52098;52099;52490;52491;52492;52493;52494;52944;52945;52946;52947;52948;52949;52950;52951;52952;52953;52954;52955;52956;52957;52958;52959;52960;52961;52962;52963;52964;52965;52966;53090;53091;53092;53093;54330;54331;54332;54333;54334;54335;54336;54337;54338;54339;54340;54341;54342;54343;54344;54345;54346;54347;55992;55993;55994;55995;57966;57967;57968;57969;57970;57971;57972;57973;58944;58945;58946;58947;58948;62927;62928;65151;65152;65153;65154;67743;67744;67745;67746;67747;67748;67749;67750;67751;72920;72921;72922;72923;72924;72925;72926;72927;72928;72929;72930;72931;72932;72933;84947;84948;84949;84950;84951;84952;84953;84954	1014;2800;3019;4946;7137;7146;10791;11743;11937;11940;15019;17801;17805;17814;21076;21091;21095;21100;24761;32967;34803;35768;36222;51079;52089;52490;52964;53093;54331;55992;55995;57969;58944;62927;65154;67750;72921;72932;84951			-1
P04161	P04161	1	1	1	Phosphoribosylglycinamide formyltransferase	ADE8	sp|P04161|PUR3_YEAST Phosphoribosylglycinamide formyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE8 PE=1 SV=1	1	1	1	1	7.9	7.9	7.9	23.54	214	214	0	4.6295	NaN	NaN	NaN	0	0	Median	0	0	0				78	6577	True	6634	19986	36463	36463			-1
P04449	P04449	11	11	3	60S ribosomal protein L24-A	RPL24A	sp|P04449|RL24A_YEAST 60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL24A PE=1 SV=1	1	11	11	3	33.5	33.5	7.7	17.613	155	155	0	42.363	0.85998	1.2103	12.856	26	0	Leave out requantified	17536000000	8595200000	8940800000				79	966;3884;3885;4918;6407;6855;8983;10141;10912;11751;13765	True;True;True;True;True;True;True;True;True;True;True	979;3915;3916;4965;6464;6915;9069;10249;11027;11879;13919	3210;3211;3212;3213;11922;11923;11924;11925;11926;15048;15049;15050;19548;19549;20740;27312;27313;27314;27315;27316;27317;30689;30690;32608;32609;32610;35281;35282;41942	5946;5947;5948;5949;5950;5951;5952;5953;5954;5955;5956;5957;5958;5959;5960;5961;21799;21800;21801;21802;21803;21804;21805;27517;27518;27519;27520;27521;27522;27523;27524;27525;27526;27527;27528;27529;27530;27531;27532;27533;27534;27535;27536;27537;35715;35716;35717;35718;37693;37694;49530;49531;49532;49533;49534;49535;49536;49537;49538;49539;49540;49541;55699;55700;58938;58939;58940;58941;63681;63682;75792	5955;21801;21804;27524;35715;37694;49538;55699;58940;63681;75792			-1
P04456	P04456	9	9	9	60S ribosomal protein L25	RPL25	sp|P04456|RL25_YEAST 60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL25 PE=1 SV=4	1	9	9	9	44.4	44.4	44.4	15.757	142	142	0	103.33	0.82815	1.0792	25.607	38	0	Leave out requantified	37388000000	19478000000	17910000000				80	1194;1209;2475;7206;8483;13973;13974;14326;14327	True;True;True;True;True;True;True;True;True	1207;1223;2499;7267;8559;14128;14129;14130;14486;14487	4007;4008;4049;4050;4051;4052;7886;7887;7888;7889;7890;7891;7892;7893;7894;7895;21709;25735;25736;25737;25738;25739;25740;42631;42632;42633;42634;42635;42636;42637;43674;43675;43676;43677;43678;43679;43680;43681;43682	7469;7470;7553;7554;7555;7556;7557;7558;14416;14417;14418;14419;14420;14421;14422;14423;14424;14425;14426;14427;14428;14429;14430;14431;14432;14433;14434;14435;14436;39412;46709;46710;46711;46712;46713;46714;46715;46716;46717;46718;46719;46720;46721;46722;46723;46724;46725;46726;46727;46728;77101;77102;77103;77104;77105;77106;77107;77108;77109;77110;77111;77112;77113;77114;77115;77116;77117;77118;77119;77120;79217;79218;79219;79220;79221;79222;79223;79224;79225;79226;79227;79228;79229;79230;79231;79232	7469;7554;14431;39412;46713;77110;77116;79219;79225	43	73	-1
P04650	P04650	2	2	2	60S ribosomal protein L39	RPL39	sp|P04650|RL39_YEAST 60S ribosomal protein L39 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL39 PE=1 SV=3	1	2	2	2	21.6	21.6	21.6	6.3415	51	51	0	9.3183	0.5506	0.61794	2.439	8	0	Leave out requantified	12792000000	7718400000	5073800000				81	6747;10491	True;True	6806;10602	20451;20452;20453;20454;31570;31571;31572;31573	37225;37226;37227;37228;37229;37230;37231;37232;57240;57241;57242;57243;57244;57245;57246;57247;57248	37231;57240			-1
P04710	P04710	3	1	1	ADP,ATP carrier protein 1	AAC1	sp|P04710|ADT1_YEAST ADP,ATP carrier protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AAC1 PE=1 SV=1	1	3	1	1	8.1	3.6	3.6	34.12	309	309	0.0038573	2.1237	0.85819	1.2767	34.513	3	0	Median	408320000	187580000	220740000				82	10291;15028;15029	True;False;False	10399;15193;15194	31064;31065;31066;45919;45920;45921;45922	56359;56360;56361;56362;56363;56364;83388;83389;83390;83391;83392;83393;83394;83395;83396	56362;83391;83394			-1
P04786	P04786	3	3	3	DNA topoisomerase 1	TOP1	sp|P04786|TOP1_YEAST DNA topoisomerase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOP1 PE=1 SV=2	1	3	3	3	7.8	7.8	7.8	89.994	769	769	0	56.985	NaN	NaN	NaN	0	0	Median	139140000	126910000	12230000				83	317;8794;13427	True;True;True	320;8870;13575	1240;1241;1242;1243;1244;26670;26671;26672;40716	2255;2256;2257;2258;2259;48369;48370;48371;48372;48373;48374;48375;48376;73543	2257;48375;73543			-1
P04801	P04801	37	37	37	Threonine--tRNA ligase, cytoplasmic	THS1	sp|P04801|SYTC_YEAST Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THS1 PE=1 SV=2	1	37	37	37	54.6	54.6	54.6	84.519	734	734	0	283.49	0.66561	0.87859	21.902	71	0	Leave out requantified	27912000000	16545000000	11367000000				84	476;1719;1777;1792;1997;2528;2565;2683;2838;3201;4410;4965;4966;5059;5060;5156;6071;6156;7534;7961;8728;9283;9339;9891;9944;10539;10626;11040;11587;11647;13509;13585;14348;14787;14833;15173;15323	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	483;1737;1795;1796;1811;2018;2552;2589;2712;2867;3230;4447;5012;5013;5106;5107;5203;6124;6210;7599;8033;8804;9379;9435;9997;10051;10650;10737;11156;11711;11773;13659;13737;14508;14950;14997;15339;15489	1770;5659;5660;5661;5662;5811;5812;5813;5814;5815;5816;5855;5856;6499;6500;6501;8098;8207;8208;8513;8514;8515;8516;8957;10071;10072;13611;13612;15177;15178;15179;15180;15181;15182;15493;15494;15495;15496;15497;15498;15499;15752;15753;18468;18469;18769;18770;18771;22687;22688;22689;22690;22691;24083;24084;26498;28218;28219;28380;28381;28382;28383;30000;30001;30145;30146;30147;30148;30149;30150;30151;31695;31696;31697;31698;31699;31937;31938;33027;33028;34794;34795;34796;34797;34798;34799;34800;34801;34976;41166;41424;41425;43726;43727;45122;45123;45124;45125;45126;45127;45128;45129;45130;45334;45335;45336;45337;46357;46358;46789;46790;46791	3342;3343;10494;10495;10496;10497;10498;10499;10757;10758;10759;10760;10761;10762;10763;10829;10830;10831;12017;12018;12019;12020;12021;12022;12023;14796;14797;14798;15011;15012;15013;15014;15015;15016;15017;15018;15542;15543;15544;15545;15546;15547;15548;16363;18372;18373;25013;25014;25015;25016;25017;27768;27769;27770;27771;27772;27773;27774;27775;27776;27777;27778;27779;28330;28331;28332;28333;28334;28335;28336;28337;28338;28339;28340;28800;28801;33756;33757;33758;34319;34320;34321;34322;34323;34324;34325;34326;34327;34328;34329;34330;41121;41122;41123;41124;41125;41126;41127;41128;41129;41130;41131;43797;43798;48063;51248;51249;51250;51518;51519;51520;51521;51522;51523;51524;51525;51526;51527;51528;54435;54436;54437;54689;54690;54691;54692;54693;54694;54695;54696;54697;54698;54699;54700;54701;54702;54703;54704;54705;54706;57459;57460;57461;57462;57463;57464;57465;57853;57854;57855;57856;59644;59645;59646;59647;59648;62807;62808;62809;62810;62811;62812;62813;62814;62815;62816;62817;62818;62819;63142;74312;74313;74314;74315;74780;74781;74782;74783;74784;79307;79308;79309;79310;79311;79312;79313;82008;82009;82010;82011;82012;82013;82014;82015;82016;82017;82381;82382;82383;82384;82385;82386;82387;82388;82389;82390;84179;84180;84181;84182;84183;84955;84956;84957;84958	3343;10494;10760;10831;12018;14798;15013;15543;16363;18372;25014;27768;27775;28332;28334;28800;33758;34322;41131;43798;48063;51249;51528;54437;54699;57459;57855;59647;62807;63142;74312;74780;79307;82008;82383;84180;84957	44	189	-1
P04802	P04802	36	36	36	Aspartate--tRNA ligase, cytoplasmic	DPS1	sp|P04802|SYDC_YEAST Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DPS1 PE=1 SV=3	1	36	36	36	63.6	63.6	63.6	63.515	557	557	0	323.31	0.70405	0.97802	27.56	72	0	Leave out requantified	24003000000	14922000000	9080700000				85	4;39;40;379;726;833;1161;1162;1275;1709;2223;2224;2878;2879;3337;3461;3513;3688;5212;5745;6170;6171;6177;6373;6762;7814;8574;10512;10531;10669;10718;11058;11164;13514;14724;15365	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	4;39;40;383;736;844;1174;1175;1289;1727;2247;2248;2907;2908;3366;3491;3543;3719;5260;5798;6224;6225;6231;6429;6821;7883;8650;10623;10642;10782;10831;11174;11282;13664;14887;15531	16;17;18;19;20;21;22;23;164;165;166;167;168;169;1436;1437;1438;1439;1440;1441;2518;2519;2818;3841;3842;3843;3844;3845;3846;3847;3848;3849;3850;3851;3852;4252;4253;4254;5618;5619;7168;7169;7170;9076;9077;9078;9079;9080;9081;10395;10730;10731;10874;10875;10876;10877;10878;10879;10880;11395;15935;15936;15937;15938;17469;17470;18829;18830;18831;18832;18833;18834;18835;18836;18837;18838;18839;18840;18883;19448;19449;20489;20490;23535;23536;23537;23538;23539;23540;23541;23542;25978;25979;25980;31630;31631;31678;32039;32040;32156;32157;33071;33072;33371;33372;33373;33374;33375;33376;33377;41180;41181;44886;44887;46900;46901;46902;46903	32;33;34;35;36;37;38;39;40;41;42;43;308;309;310;311;312;313;314;315;316;317;2634;2635;2636;2637;2638;2639;2640;2641;2642;2643;4738;4739;4740;4741;4742;5245;7152;7153;7154;7155;7156;7157;7158;7159;7160;7161;7162;7163;7164;7165;7166;7167;7168;7169;7907;7908;7909;7910;7911;7912;7913;10417;10418;13185;13186;13187;16592;16593;16594;16595;16596;16597;16598;16599;19004;19601;19602;19603;19604;19865;19866;19867;19868;19869;19870;19871;19872;19873;19874;19875;20855;20856;29222;29223;29224;29225;29226;29227;29228;29229;31961;31962;31963;34438;34439;34440;34441;34442;34443;34444;34445;34446;34447;34448;34449;34450;34451;34452;34453;34454;34455;34456;34457;34458;34459;34460;34461;34462;34463;34464;34540;35515;35516;35517;35518;35519;37284;37285;37286;42778;42779;42780;42781;42782;42783;42784;42785;42786;42787;42788;42789;42790;42791;42792;42793;42794;42795;47157;47158;47159;57346;57347;57348;57349;57435;58006;58007;58008;58009;58199;58200;58201;58202;59716;59717;60258;60259;60260;60261;60262;60263;60264;60265;74349;74350;81603;81604;81605;81606;85191;85192;85193;85194;85195;85196;85197;85198;85199	36;312;316;2634;4740;5245;7156;7164;7911;10418;13185;13187;16592;16597;19004;19603;19874;20856;29226;31962;34453;34462;34540;35515;37285;42778;47157;57346;57435;58009;58200;59717;60262;74349;81606;85193			-1
P04806	P04806	3	2	2	Hexokinase-1	HXK1	sp|P04806|HXKA_YEAST Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK1 PE=1 SV=2	1	3	2	2	9.1	7.4	7.4	53.738	485	485	0	5.0522	NaN	NaN	NaN	1	0	Median	62403000	15687000	46716000				86	3723;5605;8353	True;False;True	3754;5655;8428	11495;17076;17077;17078;25359	21026;21027;31239;31240;31241;46035	21027;31239;46035			-1
P04807	P04807	34	34	33	Hexokinase-2	HXK2	sp|P04807|HXKB_YEAST Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK2 PE=1 SV=4	1	34	34	33	87.7	87.7	86	53.942	486	486	0	323.31	0.66746	0.90291	28.347	98	0	Leave out requantified	51021000000	28379000000	22642000000				87	66;244;1576;2420;2631;2948;3722;3792;4235;4523;5021;5111;5605;6083;6084;6401;6426;7046;7389;8308;8329;8463;8926;8927;9135;9546;9854;10834;12723;12724;12954;13405;14955;15337	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	66;247;1591;2444;2656;2977;3753;3823;4269;4563;5068;5158;5655;6136;6137;6458;6483;7107;7451;8382;8403;8539;9008;9009;9227;9643;9960;10948;12861;12862;13097;13553;15120;15503	241;242;243;244;245;246;997;998;5209;5210;5211;5212;5213;5214;7712;7713;7714;7715;8380;8381;8382;8383;9402;9403;9404;9405;9406;11491;11492;11493;11494;11680;11681;11682;11683;11684;12929;12930;13948;13949;15312;15313;15314;15315;15316;15317;15318;15319;15320;15628;15629;15630;15631;15632;17076;17077;17078;18512;18513;18514;18515;18516;18517;18518;18519;18520;18521;19530;19531;19532;19533;19534;19595;19596;19597;19598;19599;19600;19601;19602;19603;19604;19605;21282;22282;22283;25203;25204;25205;25206;25207;25208;25209;25210;25211;25212;25272;25273;25672;27083;27084;27802;27803;28943;28944;28945;28946;28947;28948;28949;28950;29908;29909;29910;29911;29912;29913;29914;32444;38320;38321;38322;38323;38324;38325;38326;38327;38328;38329;39261;39262;39263;39264;39265;39266;40644;40645;40646;40647;40648;40649;40650;40651;40652;40653;40654;40655;45717;46828;46829	451;452;453;454;455;456;457;458;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;9665;9666;9667;9668;9669;9670;9671;9672;9673;9674;9675;9676;9677;9678;9679;9680;9681;9682;14065;14066;14067;14068;14069;14070;14071;14072;14073;14074;15317;15318;15319;15320;15321;15322;15323;15324;15325;15326;15327;15328;15329;15330;15331;15332;15333;17176;17177;17178;17179;17180;17181;17182;17183;17184;17185;17186;17187;21006;21007;21008;21009;21010;21011;21012;21013;21014;21015;21016;21017;21018;21019;21020;21021;21022;21023;21024;21025;21384;21385;21386;21387;21388;21389;21390;21391;21392;21393;21394;21395;21396;21397;21398;21399;21400;23662;23663;23664;23665;23666;25653;25654;25655;25656;28001;28002;28003;28004;28005;28006;28007;28008;28009;28010;28011;28012;28580;28581;28582;28583;28584;28585;28586;28587;28588;28589;28590;28591;31239;31240;31241;33834;33835;33836;33837;33838;33839;33840;33841;33842;33843;33844;33845;33846;33847;33848;33849;33850;33851;33852;33853;35682;35683;35684;35685;35686;35687;35688;35689;35690;35691;35798;35799;35800;35801;35802;35803;35804;35805;35806;35807;35808;35809;35810;35811;35812;35813;35814;35815;35816;38619;40450;40451;40452;40453;45725;45726;45727;45728;45729;45730;45731;45732;45733;45734;45735;45736;45737;45738;45739;45854;45855;45856;46580;49110;49111;49112;50405;50406;50407;50408;50409;50410;50411;50412;50413;52505;52506;52507;52508;52509;52510;52511;52512;52513;52514;54240;54241;54242;54243;54244;54245;54246;54247;54248;54249;54250;54251;54252;54253;54254;54255;54256;58695;58696;69232;69233;69234;69235;69236;69237;69238;69239;69240;69241;69242;69243;69244;69245;69246;69247;69248;69249;69250;69251;69252;69253;70990;70991;70992;70993;70994;70995;70996;70997;70998;70999;71000;71001;71002;71003;71004;71005;71006;71007;71008;71009;73398;73399;73400;73401;73402;73403;73404;73405;73406;73407;73408;73409;73410;73411;73412;73413;73414;73415;73416;73417;73418;73419;73420;73421;73422;73423;73424;73425;73426;73427;73428;83060;85036;85037;85038	457;1785;9677;14068;15320;17182;21024;21396;23663;25654;28002;28583;31239;33844;33853;35691;35806;38619;40450;45727;45855;46580;49110;49112;50407;52510;54255;58696;69235;69248;70994;73411;83060;85037			-1
P04819	P04819	3	3	3	DNA ligase 1	CDC9	sp|P04819|DNLI1_YEAST DNA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC9 PE=1 SV=2	1	3	3	3	9	9	9	84.827	755	755	0	5.6675	NaN	NaN	NaN	0	0	Median	55370000	50414000	4955300				88	1082;5197;15303	True;True;True	1095;5245;15469	3585;15897;15898;46741	6664;29159;29160;29161;84868	6664;29159;84868			-1
P04821	P04821	1	1	1	Cell division control protein 25	CDC25	sp|P04821|CDC25_YEAST Cell division control protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC25 PE=1 SV=1	1	1	1	1	1.1	1.1	1.1	179.09	1589	1589	0	8.0968	NaN	NaN	NaN	1	0	Median	5949700	3894000	2055800				89	8854	True	8933	26845	48663;48664	48664			-1
P04840	P04840	15	15	15	Mitochondrial outer membrane protein porin 1	POR1	sp|P04840|VDAC1_YEAST Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POR1 PE=1 SV=4	1	15	15	15	78.4	78.4	78.4	30.428	283	283	0	323.31	0.7654	1.0207	20.155	43	0	Leave out requantified	19321000000	10794000000	8527200000				90	576;1905;3596;7234;7999;8158;9345;9539;10446;10507;11062;11961;14463;14906;15227	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	585;1926;3627;7295;8071;8232;9441;9636;10557;10618;11178;12091;14623;15070;15393	2033;2034;2035;2036;2037;2038;6253;6254;11157;11158;21779;21780;21781;21782;24194;24195;24196;24197;24792;24793;28397;28398;28928;28929;28930;31446;31447;31448;31449;31450;31615;31616;31617;31618;33083;33084;35924;35925;44059;44060;45579;45580;45581;45582;45583;46556	3824;3825;3826;3827;3828;3829;3830;3831;3832;3833;11551;11552;11553;11554;20392;20393;39524;39525;39526;39527;39528;39529;39530;39531;39532;43990;43991;43992;43993;43994;43995;43996;43997;43998;43999;44000;44001;44002;44003;45022;45023;45024;45025;45026;45027;45028;51550;51551;51552;51553;52477;52478;52479;52480;52481;52482;52483;52484;52485;52486;52487;52488;52489;57021;57022;57023;57024;57025;57026;57027;57028;57029;57030;57031;57032;57033;57320;57321;57322;57323;57324;57325;57326;57327;59729;59730;59731;59732;59733;59734;64893;64894;64895;64896;79917;79918;79919;79920;79921;79922;82823;82824;82825;82826;82827;82828;82829;82830;82831;82832;82833;82834;84540	3830;11552;20392;39532;44002;45023;51550;52487;57021;57324;59732;64895;79917;82825;84540			-1
P04912;P04911	P04912;P04911	5;5	5;5	4;4	Histone H2A.2;Histone H2A.1	HTA2;HTA1	sp|P04912|H2A2_YEAST Histone H2A.2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTA2 PE=1 SV=2;sp|P04911|H2A1_YEAST Histone H2A.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTA1 PE=1 SV=2	2	5	5	4	34.8	34.8	29.5	13.989	132	132;132	0	77.351	0.50436	0.66142	15.324	9	0	Leave out requantified	13341000000	9314400000	4026600000				91	343;4670;7825;9301;9302	True;True;True;True;True	346;4711;7894;9397;9398	1318;1319;14340;14341;23569;23570;23571;23572;28277;28278;28279;28280;28281;28282	2417;2418;2419;2420;2421;2422;2423;2424;26324;26325;26326;26327;42843;42844;42845;42846;42847;42848;42849;42850;42851;42852;42853;51343;51344;51345;51346;51347;51348;51349;51350;51351;51352;51353;51354;51355;51356;51357;51358;51359	2422;26327;42849;51344;51354			-1;-1
